Hour number,Solar,Wind,SolarTracking,Grid,RampDummy
4634,0,0.599180909,0,0,1
4635,0,0.656491818,0,0,1
4636,0,0.701675,0,0,1
4637,0,0.625217273,0,0,1
4638,0.172916587,0.401570455,0,0,1
4639,0.733871652,0.079374545,0,0,1
4640,0.95720069,0.002781818,0,0,1
4641,0.987251408,0.000152273,0,0,1
4642,0.987251408,0.030045455,0,0,1
4643,0.987251408,0.045721364,0,0,1
4644,0.987251408,0.046192273,0,0,1
4645,0.987251408,0.041151818,0,0,1
4646,0.987251408,0.122556364,0,0,1
4647,0.987251408,0.134981364,0,0,1
4648,0.987251408,0.159468636,0,0,1
4649,0.954025117,0.203165,0,0,1
4650,0.758656442,0.298690455,0,0,1
4651,0.177030046,0.582545455,0,0,1
4652,0,0.848980909,0,0,1
4653,0,0.905598182,0,0,1
4654,0,0.904129091,0,0,1
4655,0,0.888388636,0,0,1
4656,0,0.797871364,0,0,1
4657,0,0.671777727,0,0,1
4658,0,0.638565909,0,0,1
4659,0,0.61625,0,0,1
4660,0,0.588066364,0,0,1
4661,0,0.486143636,0,0,1
4662,0.174537627,0.379014091,0,0,1
4663,0.740631776,0.150009091,0,0,1
4664,0.947504952,0.033940455,0,0,1
4665,0.987251408,0.026102273,0,0,1
4666,0.987251408,0.008805909,0,0,1
4667,0.987251408,0.017151818,0,0,1
4668,0.987251408,0.023035,0,0,1
4669,0.987251408,0.028799545,0,0,1
4670,0.987251408,0.053184545,0,0,1
4671,0.987251408,0.062606364,0,0,1
4672,0.987251408,0.060241364,0,0,1
4673,0.961386422,0.064082273,0,0,1
4674,0.756897377,0.125849545,0,0,1
4675,0.174286186,0.171963636,0,0,1
4676,0,0.366202273,0,0,1
4677,0,0.442561818,0,0,1
4678,0,0.60728,0,0,1
4679,0,0.756240909,0,0,1
4680,0,0.797077727,0,0,1
4681,0,0.763848182,0,0,1
4682,0,0.6584,0,0,1
4683,0,0.594023636,0,0,1
4684,0,0.502393182,0,0,1
4685,0,0.434576364,0,0,1
4686,0.168170669,0.346324545,0,0,1
4687,0.744717739,0.185559545,0,0,1
4688,0.948204027,0.051905455,0,0,1
4689,0.987251408,0.01608,0,0,1
4690,0.987251408,0.010547727,0,0,1
4691,0.987251408,0.068294091,0,0,1
4692,0.987251408,0.050235,0,0,1
4693,0.987251408,0.103386364,0,0,1
4694,0.987251408,0.099241364,0,0,1
4695,0.987251408,0.067832727,0,0,1
4696,0.987251408,0.046298636,0,0,1
4697,0.952817975,0.026310909,0,0,1
4698,0.751042942,0.018222727,0,0,1
4699,0.165855193,0.016540909,0,0,1
4700,0,0.022809545,0,0,1
4701,0,0.082823182,0,0,1
4702,0,0.152963182,0,0,1
4703,0,0.559532727,0,0,1
4704,0,0.560185909,0,0,1
4705,0,0.388818182,0,0,1
4706,0,0.255247273,0,0,1
4707,0,0.132525909,0,0,1
4708,0,0.113638182,0,0,1
4709,0,0.078466818,0,0,1
4710,0.151416889,0.037277273,0,0,1
4711,0.70533471,0.003309091,0,0,1
4712,0.921091996,0,0,0,1
4713,0.987251408,0,0,0,1
4714,0.987251408,0.005022727,0,0,1
4715,0.987251408,0.043506364,0,0,1
4716,0.987251408,0.037493636,0,0,1
4717,0.987251408,0.050420909,0,0,1
4718,0.987251408,0.056783182,0,0,1
4719,0.987251408,0.057640909,0,0,1
4720,0.987251408,0.046752273,0,0,1
4721,0.940747286,0.059791818,0,0,1
4722,0.739163191,0.016151364,0,0,1
4723,0.164699802,0.030696818,0,0,1
4724,0,0.071330455,0,0,1
4725,0,0.127545,0,0,1
4726,0,0.107542727,0,0,1
4727,0,0.026255455,0,0,1
4728,0,0.0062,0,0,1
4729,0,0.019727727,0,0,1
4730,0,0.016056818,0,0,1
4731,0,0.022702273,0,0,1
4732,0,0.056284091,0,0,1
4733,0,0.118407273,0,0,1
4734,0.04227149,0.101664545,0,0,1
4735,0.235776789,0.081561818,0,0,1
4736,0.912094115,0.083313636,0,0,1
4737,0.987251408,0.070865909,0,0,1
4738,0.987251408,0.052738636,0,0,1
4739,0.987251408,0.022071364,0,0,1
4740,0.987251408,0.030839545,0,0,1
4741,0.987251408,0.065527273,0,0,1
4742,0.987251408,0.074324091,0,0,1
4743,0.987251408,0.039882727,0,0,1
4744,0.987251408,0.017981364,0,0,1
4745,0.901475018,0.043162273,0,0,1
4746,0.650637526,0.070482727,0,0,1
4747,0.129939086,0.113880455,0,0,1
4748,0,0.211892273,0,0,1
4749,0,0.429498182,0,0,1
4750,0,0.564250455,0,0,1
4751,0,0.606868636,0,0,1
4752,0,0.610589091,0,0,1
4753,0,0.572538182,0,0,1
4754,0,0.64379,0,0,1
4755,0,0.773269091,0,0,1
4756,0,0.865015909,0,0,1
4757,0,0.896176364,0,0,1
4758,0.069259765,0.882578182,0,0,1
4759,0.045088829,0.728007727,0,0,1
4760,0.731974047,0.554570909,0,0,1
4761,0.980639487,0.331210909,0,0,1
4762,0.987251408,0.087296818,0,0,1
4763,0.987251408,0.002328182,0,0,1
4764,0.987251408,0.018546364,0,0,1
4765,0.987251408,0.039584545,0,0,1
4766,0.962688095,0.303492727,0,0,1
4767,0.899720398,0.223971364,0,0,1
4768,0.869929208,0.184711818,0,0,1
4769,0.782300924,0.164135455,0,0,1
4770,0.237110412,0.198097727,0,0,1
4771,0.119167589,0.277329091,0,0,1
4772,0,0.449800909,0,0,1
4773,0,0.511407273,0,0,1
4774,0,0.455821364,0,0,1
4775,0,0.457678636,0,0,1
4776,0,0.408042273,0,0,1
4777,0,0.313447727,0,0,1
4778,0,0.309778182,0,0,1
4779,0,0.216457273,0,0,1
4780,0,0.172169545,0,0,1
4781,0,0.088495455,0,0,1
4782,0.03394889,0.077301818,0,0,1
4783,0.136702566,0.062880909,0,0,1
4784,0.09777336,0.085584091,0,0,1
4785,0.149950873,0.093699545,0,0,1
4786,0.21250382,0.095224091,0,0,1
4787,0.271957644,0.242990909,0,0,1
4788,0.590421053,0.374225,0,0,1
4789,0.69279628,0.550942273,0,0,1
4790,0.939554871,0.372440455,0,0,1
4791,0.97009249,0.270350909,0,0,1
4792,0.835195593,0.337605,0,0,1
4793,0.755175788,0.365564545,0,0,1
4794,0.414263513,0.216046364,0,0,1
4795,0.063526738,0.242830909,0,0,1
4796,0,0.317681364,0,0,1
4797,0,0.417271818,0,0,1
4798,0,0.437142273,0,0,1
4799,0,0.425416364,0,0,1
4800,0,0.554990909,0,0,1
4801,0,0.607797727,0,0,1
4802,0,0.573708182,0,0,1
4803,0,0.594987727,0,0,1
4804,0,0.617335909,0,0,1
4805,0,0.671811364,0,0,1
4806,0.125122352,0.711737727,0,0,1
4807,0.669834463,0.803345455,0,0,1
4808,0.732470997,0.743035,0,0,1
4809,0.752944932,0.591255455,0,0,1
4810,0.856802541,0.402994545,0,0,1
4811,0.917911171,0.195431818,0,0,1
4812,0.961494769,0.060050455,0,0,1
4813,0.972547068,0.015736818,0,0,1
4814,0.965907994,0.017602273,0,0,1
4815,0.987251408,0.07228,0,0,1
4816,0.987251408,0.158274091,0,0,1
4817,0.963671445,0.23444,0,0,1
4818,0.742597335,0.410507273,0,0,1
4819,0.149023959,0.809448636,0,0,1
4820,0,0.878705,0,0,1
4821,0,0.911315455,0,0,1
4822,0,0.912706364,0,0,1
4823,0,0.912103636,0,0,1
4824,0,0.912054545,0,0.00E+00,1.00E+00
4825,0,0.905628182,0,0,1
4826,0,0.890315455,0,0,1
4827,0,0.875467727,0,0,1
4828,0,0.845999091,0,0,1
4829,0,0.812936364,0,0,1
4830,0.131794303,0.813974545,0,0,1
4831,0.71781892,0.731685,0,0,1
4832,0.957097296,0.553294091,0,0,1
4833,0.987251408,0.321137273,0,0,1
4834,0.987251408,0.077638182,0,0,1
4835,0.987251408,0.003293182,0,0,1
4836,0.987251408,0.001059091,0,0,1
4837,0.987251408,0.000425,0,0,1
4838,0.987251408,0.014666364,0,0,1
